,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2787,0.661,0.768,9,-12.858,0,0.0485,0.0672,0.923,0.11,0.349,138.027,audio_features,3ax6C3CU3rXvoelAUgd4h3,spotify:track:3ax6C3CU3rXvoelAUgd4h3,https://api.spotify.com/v1/tracks/3ax6C3CU3rXvoelAUgd4h3,https://api.spotify.com/v1/audio-analysis/3ax6C3CU3rXvoelAUgd4h3,554947,4,trance
2788,0.592,0.806,10,-12.597,0,0.0442,0.000299,0.797,0.0978,0.0522,138.479,audio_features,7CtSQxUy8zTQgBsz1mlQYJ,spotify:track:7CtSQxUy8zTQgBsz1mlQYJ,https://api.spotify.com/v1/tracks/7CtSQxUy8zTQgBsz1mlQYJ,https://api.spotify.com/v1/audio-analysis/7CtSQxUy8zTQgBsz1mlQYJ,449693,4,trance
2789,0.614,0.85,0,-6.902,1,0.0326,0.306,0.838,0.109,0.366,134.995,audio_features,6ME5fA00KzBFspHFHvF2uj,spotify:track:6ME5fA00KzBFspHFHvF2uj,https://api.spotify.com/v1/tracks/6ME5fA00KzBFspHFHvF2uj,https://api.spotify.com/v1/audio-analysis/6ME5fA00KzBFspHFHvF2uj,216907,4,trance
2790,0.566,0.932,11,-7.638,0,0.0374,5.25e-05,0.782,0.102,0.34,140.004,audio_features,5KnYWiGzNHV3VO2kThgqZ9,spotify:track:5KnYWiGzNHV3VO2kThgqZ9,https://api.spotify.com/v1/tracks/5KnYWiGzNHV3VO2kThgqZ9,https://api.spotify.com/v1/audio-analysis/5KnYWiGzNHV3VO2kThgqZ9,457430,4,trance
2791,0.651,0.941,11,-6.362,1,0.0617,0.000125,0.777,0.295,0.0786,143.001,audio_features,4qboYbFN6gqScT5XUPSKGY,spotify:track:4qboYbFN6gqScT5XUPSKGY,https://api.spotify.com/v1/tracks/4qboYbFN6gqScT5XUPSKGY,https://api.spotify.com/v1/audio-analysis/4qboYbFN6gqScT5XUPSKGY,449790,4,trance
2792,0.533,0.904,6,-7.497,1,0.0479,0.000224,0.889,0.157,0.271,142.993,audio_features,2lV4akglM9URIRLdDNIbzl,spotify:track:2lV4akglM9URIRLdDNIbzl,https://api.spotify.com/v1/tracks/2lV4akglM9URIRLdDNIbzl,https://api.spotify.com/v1/audio-analysis/2lV4akglM9URIRLdDNIbzl,544053,4,trance
2793,0.685,0.797,2,-13.216,1,0.0529,9.33e-05,0.919,0.109,0.247,133.859,audio_features,65iIJ0kO5vaM3zsRYe7AaR,spotify:track:65iIJ0kO5vaM3zsRYe7AaR,https://api.spotify.com/v1/tracks/65iIJ0kO5vaM3zsRYe7AaR,https://api.spotify.com/v1/audio-analysis/65iIJ0kO5vaM3zsRYe7AaR,418366,4,trance
2794,0.534,0.863,9,-10.422,0,0.0344,0.00257,0.441,0.0374,0.138,138.853,audio_features,3xgckatLzl2HyWjiMyB75e,spotify:track:3xgckatLzl2HyWjiMyB75e,https://api.spotify.com/v1/tracks/3xgckatLzl2HyWjiMyB75e,https://api.spotify.com/v1/audio-analysis/3xgckatLzl2HyWjiMyB75e,490813,4,trance
2795,0.428,0.991,6,-7.71,0,0.0691,0.000144,0.8,0.381,0.161,137.993,audio_features,7eG3nbfYaeDwhtTTuZOCei,spotify:track:7eG3nbfYaeDwhtTTuZOCei,https://api.spotify.com/v1/tracks/7eG3nbfYaeDwhtTTuZOCei,https://api.spotify.com/v1/audio-analysis/7eG3nbfYaeDwhtTTuZOCei,434783,4,trance
2796,0.594,0.928,5,-5.783,0,0.04,0.000735,0.81,0.236,0.0455,141.997,audio_features,31jjvMfYqL6lt0pZwnRnd2,spotify:track:31jjvMfYqL6lt0pZwnRnd2,https://api.spotify.com/v1/tracks/31jjvMfYqL6lt0pZwnRnd2,https://api.spotify.com/v1/audio-analysis/31jjvMfYqL6lt0pZwnRnd2,476620,4,trance
